김동건변호사 고향사찰 구천면 정수사 다녀갑니다	김동건 변호사는 고향 사찰을 방문했습니다.	1
김동건변호사 고향사찰 구천면 정수사 다녀갑니다	김동건 변호사는 고향 사찰을 방문하지 않았습니다.	0
김동건변호사 고향사찰 구천면 정수사 다녀갑니다	김동건 변호사는 사찰에서 기도했습니다.	2
놓치고 싶지 않은 직원들은 서운함 없이 잘 해줘야 합니다	직원들이 서운해하지 않게 잘 대해줘야 합니다.	1
놓치고 싶지 않은 직원들은 서운함 없이 잘 해줘야 합니다	직원들이 서운해해도 괜찮습니다.	0
놓치고 싶지 않은 직원들은 서운함 없이 잘 해줘야 합니다	직원들에게는 무관심하게 대해야 합니다.	2
"롤드컵의 페이커는 다릅니다" 고전파 모드 페이커 사일러스 등장 | 롤 하이라이트 LCK T1 롤드컵	페이커는 롤드컵에서 다른 모습을 보였습니다.	1
"롤드컵의 페이커는 다릅니다" 고전파 모드 페이커 사일러스 등장 | 롤 하이라이트 LCK T1 롤드컵	페이커는 롤드컵에서 같은 모습을 유지했습니다.	0
"롤드컵의 페이커는 다릅니다" 고전파 모드 페이커 사일러스 등장 | 롤 하이라이트 LCK T1 롤드컵	페이커는 롤드컵에 참여하지 않았습니다.	2
운남농협 창립 60주년 기념식 열려[목포MBC 뉴스데스크]	운남농협은 창립 60주년 기념식을 개최했습니다.	1
운남농협 창립 60주년 기념식 열려[목포MBC 뉴스데스크]	운남농협은 창립 60주년 기념식을 개최하지 않았습니다.	0
운남농협 창립 60주년 기념식 열려[목포MBC 뉴스데스크]	운남농협은 50주년 기념식을 열었습니다.	2
중국 일당에 "다 들어와"…공포에 떤 유흥가 (자막뉴스)	중국 일당이 유흥가를 장악했습니다.	1
중국 일당에 "다 들어와"…공포에 떤 유흥가 (자막뉴스)	중국 일당은 유흥가에 오지 않았습니다.	0
중국 일당에 "다 들어와"…공포에 떤 유흥가 (자막뉴스)	중국 일당은 유흥가에서 환영받았습니다.	2
한국 건물주 된 중국인 여대생...누리꾼 공분한 까닭	중국인 여대생이 한국에서 건물을 구입했습니다.	1
한국 건물주 된 중국인 여대생...누리꾼 공분한 까닭	중국인 여대생은 한국에서 건물을 구입하지 않았습니다.	0
한국 건물주 된 중국인 여대생...누리꾼 공분한 까닭	한국 건물주는 중국인 남성입니다.	2
엄마의 파이 재료 모으기 비밀을 밝혀내요!	엄마의 파이 재료 모으기에 비밀이 있습니다.	1
엄마의 파이 재료 모으기 비밀을 밝혀내요!	엄마는 파이 재료에 비밀이 없다고 했습니다.	0
엄마의 파이 재료 모으기 비밀을 밝혀내요!	엄마는 파이 재료를 전혀 모으지 않습니다.	2
리플 CEO 비공개 회의에서 발표한 대형 프로젝트! #리플 #리플코인 #리플전망	리플 CEO가 새로운 프로젝트를 발표했습니다.	1
리플 CEO 비공식 회의에서 발표한 대형 프로젝트! #리플 #리플코인 #리플전망	리플 CEO는 프로젝트를 발표하지 않았습니다.	0
리플 CEO 비공식 회의에서 발표한 대형 프로젝트! #리플 #리플코인 #리플전망	리플 CEO는 기존 프로젝트만 언급했습니다.	2
푸바오 근황 ????환호하는???? 중국 한국 일본 푸덕이들! 탕사육사의 세심한 배려 그리고 쉬샹에겐 무슨 일이 있었나? 암튼 푸바오는 좋아진다!	푸바오의 건강 상태가 좋아지고 있습니다.	1
푸바오 근황 ????환호하는???? 중국 한국 일본 푸덕이들! 탕사육사의 세심한 배려 그리고 쉬샹에겐 무슨 일이 있었나? 암튼 푸바오는 좋아진다!	푸바오의 건강 상태는 나빠지고 있습니다.	0
푸바오 근황 ????환호하는???? 중국 한국 일본 푸덕이들! 탕사육사의 세심한 배려 그리고 쉬샹에겐 무슨 일이 있었나? 암튼 푸바오는 좋아진다!	푸바오는 건강에 큰 변화가 없습니다.	2
[재업로드] 마음공부의 기본 일상에서 올라오는 두려움	마음공부를 통해 두려움을 극복할 수 있습니다.	1
[재업로드] 마음공부의 기본 일상에서 올라오는 두려움	마음공부는 두려움 극복에 도움이 되지 않습니다.	0
[재업로드] 마음공부의 기본 일상에서 올라오는 두려움	마음공부는 다른 감정을 다루는 데 초점을 맞춥니다.	2
※7시간 순삭※ 닌텐도에 고소당한 팰월드 플스5로 처음부터 다시 하기 1일차	닌텐도가 팰월드를 고소했습니다.	1
※7시간 순삭※ 닌텐도에 고소당한 팰월드 플스5로 처음부터 다시 하기 1일차	닌텐도는 팰월드를 고소하지 않았습니다.	0
※7시간 순삭※ 닌텐도에 고소당한 팰월드 플스5로 처음부터 다시 하기 1일차	닌텐도는 팰월드와 협력했습니다.	2
한동훈 부산에서 잠옷 입은 꼬마들과 함께한 사연	한동훈이 부산에서 어린이들과 함께 시간을 보냈습니다.	1
한동훈 부산에서 잠옷 입은 꼬마들과 함께한 사연	한동훈은 부산에서 어린이들과 시간을 보내지 않았습니다.	0
한동훈 부산에서 잠옷 입은 꼬마들과 함께한 사연	한동훈은 어린이들 대신 성인들과 시간을 보냈습니다.	2
